product_norm,branch,period_start,period_end,num_occurrences,price_mean,price_min,price_max
ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG,CAMPINA GRANDE,01.12,07.12,1,24.50,24.50,24.50
ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG,CAMPINA GRANDE,03.11,09.11,1,24.80,24.80,24.80
ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG,CAMPINA GRANDE,10.11,16.11,1,24.80,24.80,24.80
ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG,JOÃO PESSOA,01.12,07.12,1,24.50,24.50,24.50
ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG,JOÃO PESSOA,03.11,09.11,1,24.80,24.80,24.80
ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG,JOÃO PESSOA,10.11,16.11,1,24.80,24.80,24.80
ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG,JUAZEIRO DO NORTE,01.12,07.12,1,21.80,21.80,21.80
ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG,JUAZEIRO DO NORTE,03.11,09.11,1,23.80,23.80,23.80
ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG,JUAZEIRO DO NORTE,10.11,16.11,1,23.80,23.80,23.80
ACEM/PA/PEITO BOVINO RESFRIADO PECA/PEDACO KG,BRUMADO,03.11,06.11,1,23.80,23.80,23.80
ACEM/PA/PEITO BOVINO RESFRIADO PECA/PEDACO KG,JUAZEIRO DO NORTE,10.11,16.11,1,25.80,25.80,25.80
ACEM/PA/PEITO BOVINO RESFRIADO PECA/PEDACO KG,VITÓRIA DA CONQUISTA,03.11,06.11,1,25.80,25.80,25.80
ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG,CAMPINA GRANDE,17.11,23.11,1,24.50,24.50,24.50
ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG,CAMPINA GRANDE,24.11,30.11,1,23.50,23.50,23.50
ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG,JOÃO PESSOA,17.11,23.11,1,24.50,24.50,24.50
ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG,JOÃO PESSOA,24.11,30.11,1,23.50,23.50,23.50
ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG,JUAZEIRO DO NORTE,17.11,23.11,1,23.80,23.80,23.80
ACEM/PA/PEITO BOVINO RESFRIADO FRIBOI PECA/PEDACO KG,BRUMADO,13.10,19.10,1,25.80,25.80,25.80
ACEM/PA/PEITO BOVINO RESFRIADO FRIBOI PECA/PEDACO KG,JOÃO PESSOA,06.10,12.10,1,29.00,29.80,29.80
ACEM/PA/PEITO BOVINO RESFRIADO FRIBOI PECA/PEDACO KG,JUAZEIRO DO NORTE,06.10,12.10,1,26.00,26.00,26.00
ACEM/PA/PEITO BOVINO RESFRIADO FRIBOI PECA/PEDACO KG,VITÓRIA DA CONQUISTA,13.10,19.10,1,25.20,25.20,25.20
ACEM/PA/PEITO BOVINO RESFRIADO FRIBOI PECA/PEDACO KG,VITÓRIA DA CONQUISTA,29.09,05.10,1,25.80,25.80,25.80
ACEM/PA/PEITO BOVINO RESFRIADO FRIBOI PECA/PEDACO KG,BRUMADO,06.10,12.10,1,25.80,25.80,25.80
ACEM/PA/PEITO BOVINO RESFRIADO FRIBOI PECA/PEDACO KG,BRUMADO,29.09,05.10,1,25.80,25.80,25.80
ACEM/PA/PEITO BOVINO RESFRIADO FRIBOI PECA/PEDACO KG,CAMPINA GRANDE,06.10,12.10,1,29.90,29.90,29.90
ACEM/PA/PEITO BOVINO RESFRIADO PECA/PEDACO KG,JUAZEIRO DO NORTE,24.11,30.11,1,25.80,25.80,25.80
ALCATRA C/MAMINHA BOVINA RESFRIADA FRIBOI PECA/PEDACO KG,BRUMADO,13.10,19.10,1,35.90,35.90,35.90
ALCATRA C/MAMINHA BOVINA RESFRIADA PECA/PEDACO KG,JUAZEIRO DO NORTE,01.12,07.12,1,38.00,38.00,38.00
