crop_filename,image,class_id,class_name,conf,x1,y1,x2,y2
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__001.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9318,1378,1014,1551,1099
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__002.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9303,1379,2196,1553,2281
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__003.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9277,619,1406,793,1493
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__004.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9205,1002,1013,1176,1099
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__005.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9176,1756,1405,1928,1492
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__006.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9136,243,1406,415,1492
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__007.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9127,1379,1406,1553,1492
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__008.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9116,1790,1799,1922,1886
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__009.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9115,1000,1800,1172,1887
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__010.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9112,268,2197,403,2281
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__011.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9101,244,1013,417,1099
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__012.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9094,1757,1012,1930,1098
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__013.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9090,622,1013,796,1099
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__014.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9085,1000,1407,1172,1494
